49100,45.5
420,49.5
2000,48.9
39800,50.4
3300,43.3
230,49.5
8,47.7
100,49.7
110,48.2
2540,45.7
1610,50.8
15,49.2
19,51.3
1320,43.4
1070,51.1
6800,48.8
21.5,45.5
78000,45.7
2240,46
2450,50.4
2990,44.5
2200,46.7
423,50.6
66000,45
18100,48.9
110,50.6
20,46.8
3720,50.6
3000,44.7
2440,47
1100,49.1
100,46.5
65.5,47.2
49700,46.9
3640,52.4
2240,41.2
31,43.8
89.5,46.2
4680,45.9
1000,44.2
16800,46.7
317,40.9
209000,51.3
33800,42.4
3940,48.1
800,43.4
25.3,45.7
2830,44.1
2,43.5
85,42.9
16600,45.6
3230,44.5
1780,50.5
110,47.5
8000,51.1
3,50.4
1470,51.1
300,50.9
5,51.3
84,51.5
40,48.6
65.2,44.9
80,46.5
151,50.6
380,49
1270,42.2
4120,43.2
13300,50.2
18,49.8
100000,49.7
1020,41.6
3060,44.3
345,41.1
2,50.6
150,50.5
2070,47.6
110,41.8
3450,42.7
4,46.6
1470,50.1
69.4,41
115,51.5
664,50.6
110,49.6
76500,49.6
31,44.2
110,49.1
5730,51.6
4,47.5
2240,48.8
110,49.6
2,50.3
1230,50.2
525,46.2
450,51.2
2300,44.8
106000,50.1
